iteration,bidder,bundle,active
2,3,"[1, 3, 4, 8, 9, 14]",False
2,3,"[8, 4, 14, 7]",False
2,3,"[0, 1, 2, 9]",False
2,3,"[2, 4, 7, 9, 14]",False
2,3,"[0, 4]",False
2,3,"[2, 4, 14]",False
2,3,"[0, 1, 2, 4, 7, 9]",False
2,3,"[3, 4, 7]",False
2,3,"[1, 2, 3, 4, 8, 9, 14]",False
2,3,"[9, 2, 14]",False
2,3,"[2, 3, 4, 7, 8, 9]",False
2,3,"[0, 2, 3, 4, 7, 8]",False
2,3,"[0, 8, 3, 4]",False
2,3,"[0, 2, 3, 4, 9]",False
2,3,"[1, 3, 7, 8, 14]",False
2,3,"[0, 1, 2, 8, 9]",False
2,3,"[9, 3, 7]",False
2,3,"[1, 2, 4]",False
2,3,"[8, 9, 2, 3]",False
2,3,"[0, 4, 14]",False
2,3,"[0, 1, 4, 8, 9]",False
2,3,"[8, 9, 14, 7]",False
2,3,"[0, 1, 2, 4]",False
2,3,"[0, 1, 7]",False
2,3,"[1, 4, 9, 14]",False
2,3,"[0, 8, 2, 7]",False
2,3,"[1, 2, 4, 8, 14]",False
2,3,"[1, 3, 4, 7, 14]",False
2,3,"[0, 2, 3, 8, 9]",False
2,3,"[8, 3, 4, 7]",False
2,3,"[0, 1, 3, 8, 14]",False
2,3,"[0, 8, 3, 14]",False
2,3,"[1, 3, 4, 7, 8]",False
2,3,"[0, 2, 3, 9, 14]",False
2,3,"[2, 3, 4, 7, 9]",False
2,3,"[0, 3, 4, 7]",False
2,3,"[9, 2]",False
2,3,"[0, 1, 4, 7, 8]",False
2,3,"[1, 14, 7]",False
2,3,"[8, 2, 3, 7]",False
2,3,"[8, 2, 3, 14]",False
2,3,"[0, 2, 4, 7]",False
2,3,"[8, 1, 9, 14]",False
2,3,"[0, 4, 7, 8, 9]",False
2,3,"[1, 2, 7, 8, 9, 14]",False
2,3,"[0, 3, 4, 14]",False
2,3,"[0, 2, 3, 4, 7, 14]",False
2,3,"[0, 8, 3, 7]",False
2,3,"[1, 3, 4, 8, 14]",False
2,3,"[0, 2, 3, 7, 9]",False
2,3,"[3, 14]",False
2,3,"[2, 7]",False
2,3,"[1, 2, 4, 7, 9, 14]",False
2,3,"[0, 1, 2, 3, 4, 8, 9]",False
2,3,"[0, 2, 3, 4, 9, 14]",False
2,3,[3],False
2,3,"[2, 4, 7, 8, 9]",False
2,3,"[0, 2, 3, 7, 8, 14]",False
2,3,"[0, 1, 4, 7, 8, 9, 14]",False
2,3,"[9, 3, 14]",False
2,3,"[9, 7]",False
2,3,"[1, 4, 7, 9, 14]",False
2,3,"[0, 2, 3, 4, 8, 9, 14]",False
2,3,"[0, 2, 3, 8, 9, 14]",False
2,3,"[0, 1, 3, 8]",False
2,3,"[3, 4, 7, 8, 14]",False
2,3,"[0, 1, 2, 3, 9]",False
2,3,"[0, 1, 2, 3, 4, 7, 8]",False
2,3,"[0, 8, 4, 9]",False
2,3,"[1, 2, 14, 7]",False
2,3,"[1, 7, 8, 9, 14]",False
2,3,"[8, 14, 7]",False
2,3,"[0, 1, 2, 3, 4, 7]",False
2,3,"[0, 1, 3, 4, 7, 8, 9]",False
2,3,"[0, 3, 4, 7, 9, 14]",False
2,3,"[1, 4, 9]",False
2,3,"[0, 8, 3]",False
2,3,"[4, 14, 7]",False
2,3,"[2, 3, 4, 7, 9, 14]",False
2,3,"[1, 3, 4, 7, 8, 14]",False
2,3,"[2, 4, 7, 8, 9, 14]",False
2,3,"[0, 1, 2, 7, 8, 14]",False
2,3,"[0, 3, 4, 7, 8, 9, 14]",False
2,3,"[0, 3, 7, 8, 9, 14]",False
2,3,[1],False
2,3,"[0, 1, 3, 4, 7, 14]",False
2,3,"[0, 1, 2, 3, 7, 14]",False
2,3,"[0, 1, 2, 4, 7, 8, 14]",False
2,3,"[1, 3, 4, 7]",False
2,3,"[0, 1, 2, 3, 4, 8]",False
2,3,"[1, 4, 7]",False
2,3,"[0, 2, 3, 4, 8, 9]",False
2,3,"[1, 2, 4, 7, 8, 9]",False
2,3,"[0, 1, 2, 3, 4, 9, 14]",False
2,3,"[0, 1, 4, 7, 9]",False
2,3,"[0, 1, 2, 4, 7, 8, 9, 14]",False
2,3,"[8, 1, 3, 7]",False
2,3,"[0, 3, 4, 8, 14]",False
2,3,"[9, 2, 3, 7]",False
2,3,"[2, 3, 7]",False
2,3,"[1, 2, 3, 7, 9]",False
2,3,"[0, 1, 3, 4, 9, 14]",False
2,3,"[4, 14]",False
2,3,"[0, 1, 2, 3, 8, 9, 14]",False
2,3,"[0, 3, 7]",False
2,3,"[0, 4, 7, 9, 14]",False
2,3,"[8, 9, 3, 4]",False
2,3,"[0, 2, 14]",False
2,3,"[0, 14]",False
2,3,"[2, 7, 8, 9, 14]",False
2,3,"[2, 3, 4, 7, 8, 14]",False
2,3,"[8, 14]",False
2,3,"[0, 1, 2, 7, 9, 14]",False
2,3,"[0, 1, 2, 7, 8, 9]",False
2,3,"[0, 2, 14, 7]",False
2,3,"[8, 1, 4]",False
2,3,"[8, 1, 4, 9]",False
2,3,"[9, 2, 4]",False
2,3,"[0, 7, 8, 9, 14]",False
2,3,"[0, 1, 9, 7]",False
2,3,"[8, 2, 4, 14]",False
2,3,"[0, 1, 2, 7, 8]",False
2,3,"[0, 9, 3]",False
2,3,[8],False
2,3,"[0, 1, 4, 8]",False
2,3,"[9, 2, 14, 7]",False
2,3,"[0, 1, 2, 4, 9]",False
2,3,"[8, 1]",False
2,3,"[8, 1, 2]",False
2,3,"[1, 2, 3]",False
2,3,"[1, 3]",False
2,3,"[8, 9, 2]",False
2,3,"[1, 3, 9, 14]",False
2,3,"[0, 3, 4, 7, 9]",False
2,3,"[1, 2, 3, 8, 14]",False
2,3,"[0, 2, 3, 4, 7, 8, 9, 14]",False
2,3,"[0, 1, 2, 4, 8, 9]",False
2,3,"[1, 2, 3, 4, 7, 9, 14]",False
2,3,"[0, 8, 4, 14]",False
2,3,"[1, 2, 9, 7]",False
2,3,"[0, 2, 4, 9, 14]",False
2,3,[4],False
2,3,"[0, 1, 3, 4, 14]",False
2,3,"[2, 3, 7, 8, 9]",False
2,3,"[0, 1, 2, 3, 4, 7, 8, 9, 14]",True
2,3,"[1, 9, 14]",False
2,3,"[0, 1, 2, 3, 7, 9]",False
2,3,"[0, 9, 2]",False
2,3,"[0, 2, 3, 7]",False
2,3,"[0, 3, 7, 8, 9]",False
2,3,"[2, 3, 4, 14]",False
2,3,"[1, 2, 3, 4, 14]",False
2,3,"[0, 1, 2, 3, 7]",False
2,3,"[3, 4, 8, 9, 14]",False
2,3,"[0, 2, 8, 9, 14]",False
2,3,"[9, 4, 7]",False
2,3,"[8, 7]",False
2,3,"[0, 1, 3, 7, 9, 14]",False
2,3,"[1, 2, 14]",False
2,3,"[8, 1, 3, 4]",False
2,3,"[1, 14]",False
2,3,"[0, 3, 7, 8, 14]",False
2,3,"[1, 2, 3, 4, 9]",False
2,3,"[2, 3, 14, 7]",False
2,3,"[0, 1, 2, 3, 4]",False
2,3,"[8, 4, 7]",False
2,3,"[3, 7, 8, 9, 14]",False
2,3,"[1, 3, 7]",False
2,3,"[0, 3, 14]",False
2,3,"[0, 1, 7, 9, 14]",False
2,3,"[1, 2, 3, 7, 8, 9]",False
2,3,"[8, 9, 7]",False
2,3,"[4, 7]",False
2,3,"[2, 3, 14]",False
2,3,"[8, 1, 3, 14]",False
2,3,"[0, 3, 4, 7, 14]",False
2,3,"[1, 3, 9]",False
2,3,"[0, 3, 4, 7, 8]",False
2,3,"[8, 2, 3]",False
2,3,"[1, 2, 3, 9, 14]",False
2,3,"[1, 2, 3, 8, 9]",False
2,3,"[0, 1, 4, 9, 14]",False
2,3,"[0, 9, 4, 14]",False
2,3,"[8, 1, 2, 7]",False
2,3,"[0, 8, 4]",False
2,3,"[0, 2, 4, 8, 14]",False
2,3,"[1, 9]",False
2,3,"[1, 2, 3, 4, 7, 9]",False
2,3,"[0, 1, 2, 4, 8, 9, 14]",False
2,3,"[2, 3, 4, 7, 8, 9, 14]",False
2,3,"[8, 4]",False
2,3,"[1, 3, 4, 14]",False
2,3,"[2, 3, 4]",False
2,3,"[1, 2, 4, 7]",False
2,3,"[0, 8, 9, 14]",False
2,3,"[1, 4, 7, 8, 9]",False
2,3,"[1, 2, 4, 14]",False
2,3,"[0, 8, 9, 7]",False
2,3,"[0, 2, 3]",False
2,3,"[1, 4, 8, 9, 14]",False
2,3,"[0, 3]",False
2,3,"[8, 1, 9]",False
2,3,"[0, 1, 2, 3, 4, 14]",False
2,3,"[3, 14, 7]",False
2,3,"[0, 3, 4]",False
2,3,"[0, 9, 3, 4]",False
2,3,"[1, 3, 7, 9, 14]",False
2,3,"[0, 2, 3, 4, 8]",False
2,3,"[2, 3, 7, 8, 9, 14]",False
2,3,"[0, 9, 4, 7]",False
2,3,"[8, 1, 2, 14]",False
2,3,"[0, 2, 4, 7, 8]",False
2,3,"[0, 9, 14]",False
2,3,"[0, 1, 2, 4, 7, 14]",False
2,3,"[0, 8, 3, 9]",False
2,3,"[8, 1, 7]",False
2,3,"[0, 2, 3, 7, 8, 9]",False
2,3,[],False
2,3,"[8, 4, 14]",False
2,3,"[0, 1, 4, 7, 8, 9]",False
2,3,"[0, 1, 3, 8, 9, 14]",False
2,3,"[0, 2, 3, 4, 7, 9]",False
2,3,"[0, 1, 2, 3, 4, 7, 8, 9]",False
2,3,"[0, 1, 7, 8, 9, 14]",False
2,3,"[0, 2, 3, 4, 7, 8, 14]",False
2,3,"[1, 9, 7]",False
2,3,"[3, 7]",False
2,3,"[0, 1]",False
2,3,"[0, 1, 3, 4, 8, 9]",False
2,3,"[8, 9, 3]",False
2,3,"[0, 1, 2, 3, 7, 9, 14]",False
2,3,"[0, 1, 4]",False
2,3,"[1, 2]",False
2,3,"[8, 9]",False
2,3,"[8, 1, 3]",False
2,3,"[0, 1, 2, 4, 7]",False
2,3,"[0, 9, 4]",False
2,3,"[1, 4]",False
2,3,"[9, 3, 4]",False
2,3,"[0, 3, 14, 7]",False
2,3,"[0, 1, 8]",False
2,3,"[1, 2, 4, 7, 14]",False
2,3,"[9, 4]",False
2,3,"[0, 4, 7]",False
2,3,"[1, 2, 3, 7, 8, 9, 14]",False
2,3,"[0, 1, 4, 7, 14]",False
2,3,"[0, 7]",False
2,3,"[1, 2, 3, 9]",False
2,3,"[0, 2, 7]",False
2,3,"[0, 8, 2, 4]",False
2,3,"[1, 14, 9, 7]",False
2,3,"[1, 2, 7, 8, 14]",False
2,3,"[1, 2, 3, 4]",False
2,3,"[0, 2, 3, 7, 14]",False
2,3,"[1, 3, 4, 8, 9]",False
2,3,"[2, 4, 7]",False
2,3,"[1, 4, 14, 7]",False
2,3,"[0, 8, 2, 9]",False
2,3,"[9, 2, 3, 14]",False
2,3,"[0, 1, 3, 4, 7, 8, 9, 14]",False
2,3,"[0, 9, 7]",False
2,3,"[0, 1, 3, 9]",False
2,3,"[3, 4, 7, 9, 14]",False
2,3,"[0, 1, 2, 3, 8]",False
2,4,"[0, 1, 2, 3, 7]",False
2,4,"[8, 2]",False
2,4,"[2, 3]",False
2,4,"[0, 1, 7]",False
2,4,"[8, 1, 2, 3]",False
2,4,"[0, 8, 2, 7]",False
2,4,"[0, 2, 3, 6, 7]",False
2,4,"[0, 1, 3, 7, 13]",False
2,4,"[8, 2, 7]",False
2,4,"[8, 7]",False
2,4,"[0, 1, 2, 6, 7, 8]",False
2,4,"[2, 3, 13]",False
2,4,"[0, 8, 13, 7]",False
2,4,"[0, 1, 7, 8, 13]",False
2,4,"[0, 1, 6, 7, 8]",False
2,4,"[0, 2, 6, 7, 8, 13]",False
2,4,"[0, 13]",False
2,4,"[0, 1, 13, 8]",False
2,4,"[1, 3, 7, 8, 13]",False
2,4,"[3, 13, 6]",False
2,4,"[0, 2, 3, 7, 13]",False
2,4,"[0, 2]",False
2,4,"[1, 3, 7]",False
2,4,"[0, 1, 2, 8]",False
2,4,"[8, 2, 3, 7]",False
2,4,"[0, 2, 7, 8, 13]",False
2,4,"[1, 2, 3, 8, 13]",False
2,4,"[1, 2, 7, 8, 13]",False
2,4,"[1, 13, 7]",False
2,4,"[0, 2, 3, 8, 13]",False
2,4,"[0, 1, 3, 7, 8, 13]",False
2,4,"[0, 8, 13]",False
2,4,"[2, 3, 13, 7]",False
2,4,"[0, 3, 6, 7, 8, 13]",False
2,4,"[13, 6, 7]",False
2,4,"[0, 1, 2, 3, 6, 8, 13]",False
2,4,"[1, 2, 13]",False
2,4,"[1, 2, 3, 6, 7, 13]",False
2,4,"[2, 6, 7]",False
2,4,"[0, 8, 3, 6]",False
2,4,"[0, 1, 3, 6, 8]",False
2,4,"[6, 7]",False
2,4,"[0, 8, 3, 7]",False
2,4,"[8, 1, 6, 7]",False
2,4,"[0, 1, 3, 8, 13]",False
2,4,"[8, 3]",False
2,4,"[0, 1, 2, 3, 6, 8]",False
2,4,"[8, 2, 3]",False
2,4,"[0, 8, 2, 3]",False
2,4,"[2, 7]",False
2,4,"[0, 1, 3]",False
2,4,"[8, 3, 13]",False
2,4,"[0, 2, 13, 7]",False
2,4,"[8, 1, 2, 7]",False
2,4,[2],False
2,4,"[8, 2, 13, 6]",False
2,4,"[1, 3, 6]",False
2,4,"[0, 2, 6, 7, 8]",False
2,4,"[0, 6, 7]",False
2,4,"[8, 2, 3, 6]",False
2,4,"[1, 2, 6, 7, 13]",False
2,4,"[0, 2, 3, 6, 13]",False
2,4,"[8, 1, 6]",False
2,4,[3],False
2,4,"[0, 6, 7, 8, 13]",False
2,4,"[8, 2, 13]",False
2,4,"[0, 3, 13, 7]",False
2,4,"[1, 3, 6, 8, 13]",False
2,4,"[2, 3, 6, 7, 8, 13]",False
2,4,"[1, 2, 3, 7, 8, 13]",False
2,4,"[0, 3, 6, 7, 13]",False
2,4,"[0, 1, 3, 13]",False
2,4,[0],False
2,4,"[1, 2, 3, 6, 8, 13]",False
2,4,"[0, 1, 2, 3, 6, 7, 13]",False
2,4,"[0, 1, 2, 3, 7, 13]",False
2,4,"[0, 2, 13]",False
2,4,"[8, 3, 13, 7]",False
2,4,"[0, 2, 3, 6, 7, 13]",False
2,4,"[0, 1, 3, 6, 13]",False
2,4,"[0, 3, 13, 6]",False
2,4,"[8, 1, 13]",False
2,4,"[1, 3, 6, 7, 8, 13]",False
2,4,"[8, 6, 7]",False
2,4,"[0, 2, 3, 6]",False
2,4,"[1, 2, 6, 7]",False
2,4,"[2, 3, 6, 7, 13]",False
2,4,"[0, 2, 13, 6]",False
2,4,"[0, 1, 2, 6, 13]",False
2,4,"[1, 7]",False
2,4,"[0, 2, 3]",False
2,4,"[0, 3]",False
2,4,"[1, 2, 7]",False
2,4,"[0, 1, 3, 8]",False
2,4,"[2, 13, 6]",False
2,4,"[0, 1, 6, 7]",False
2,4,"[0, 1, 3, 7, 8]",False
2,4,"[0, 2, 3, 6, 7, 8, 13]",False
2,4,[13],False
2,4,"[1, 6]",False
2,4,"[0, 3, 6, 7, 8]",False
2,4,"[0, 1, 2, 3, 7, 8, 13]",False
2,4,"[1, 2, 6]",False
2,4,"[1, 13, 6]",False
2,4,"[0, 1, 2, 7, 13]",False
2,4,"[1, 2, 3, 6, 8]",False
2,4,"[2, 3, 7, 8, 13]",False
2,4,"[2, 13, 6, 7]",False
2,4,"[0, 1, 2, 8, 13]",False
2,4,"[8, 13]",False
2,4,"[0, 1, 2, 6, 8, 13]",False
2,4,"[0, 1, 3, 6]",False
2,4,"[0, 8, 13, 6]",False
2,4,"[1, 13, 6, 7]",False
2,4,"[0, 1, 2, 7, 8, 13]",False
2,4,"[0, 1, 3, 6, 7]",False
2,4,"[0, 8, 3]",False
2,4,"[8, 1, 7]",False
2,4,"[0, 1, 2, 3]",False
2,4,"[2, 3, 6, 7, 8]",False
2,4,"[1, 2, 3, 7, 8]",False
2,4,[],False
2,4,"[8, 13, 6]",False
2,4,"[0, 1, 2, 3, 6]",False
2,4,"[1, 2, 3, 6]",False
2,4,"[8, 3, 6]",False
2,4,"[0, 2, 6, 7]",False
2,4,"[1, 2, 3, 6, 7, 8, 13]",False
2,4,"[2, 6]",False
2,4,"[8, 1, 2, 6]",False
2,4,"[1, 3, 6, 7]",False
2,4,"[0, 1, 6, 7, 13]",False
2,4,"[0, 1, 2, 3, 7, 8]",False
2,4,"[0, 1, 2, 3, 6, 7, 8, 13]",False
2,4,"[13, 6]",False
2,4,[1],False
2,4,"[8, 1, 13, 6]",False
2,4,"[0, 1, 13, 7]",False
2,4,"[1, 2, 6, 7, 8, 13]",False
2,4,"[0, 1, 13, 6]",False
2,4,"[1, 6, 7, 8, 13]",False
2,4,"[8, 13, 6, 7]",False
2,4,"[0, 3, 6, 8, 13]",False
2,4,"[2, 13]",False
2,4,"[8, 1, 2, 13]",False
2,4,"[0, 2, 6, 7, 13]",False
2,4,"[1, 2, 3, 6, 13]",False
2,4,"[0, 3, 6]",False
2,4,"[8, 2, 6, 7]",False
2,4,"[1, 2, 6, 8, 13]",False
2,4,"[1, 6, 7]",False
2,4,"[0, 2, 6, 8, 13]",False
2,4,"[0, 13, 6]",False
2,4,"[0, 1, 3, 6, 8, 13]",False
2,4,"[8, 13, 7]",False
2,4,"[0, 2, 3, 13]",False
2,4,"[0, 1, 13]",False
2,4,"[1, 3, 6, 7, 8]",False
2,4,"[0, 1, 3, 6, 7, 13]",False
2,4,"[8, 3, 13, 6]",False
2,4,"[3, 7]",False
2,4,"[0, 1, 2]",False
2,4,"[8, 1, 3, 7]",False
2,4,"[0, 1]",False
2,4,"[3, 6]",False
2,4,"[2, 3, 7]",False
2,4,"[8, 1, 3, 6]",False
2,4,"[2, 3, 6]",False
2,4,"[0, 8, 6, 7]",False
2,4,"[0, 1, 6, 8, 13]",False
2,4,"[8, 2, 6]",False
2,4,"[0, 3, 6, 7]",False
2,4,"[3, 6, 7, 8, 13]",False
2,4,"[8, 6]",False
2,4,"[0, 1, 2, 6, 7, 8, 13]",False
2,4,"[0, 1, 6]",False
2,4,"[0, 1, 2, 6, 8]",False
2,4,"[3, 6, 7]",False
2,4,"[0, 8, 2, 6]",False
2,4,"[1, 2, 13, 6]",False
2,4,"[1, 3, 13]",False
2,4,"[0, 1, 2, 6, 7]",False
2,4,"[1, 2]",False
2,4,"[0, 3, 7]",False
2,4,"[8, 1, 3]",False
2,4,"[0, 1, 2, 7]",False
2,4,"[1, 2, 3, 7, 13]",False
2,4,"[0, 8, 7]",False
2,4,[6],True
2,4,"[1, 3, 13, 6]",False
2,4,"[0, 3, 7, 8, 13]",False
2,4,"[0, 1, 2, 3, 8, 13]",False
2,4,"[0, 1, 2, 3, 6, 7, 8]",False
2,4,"[0, 2, 3, 6, 8, 13]",False
2,4,"[3, 13, 6, 7]",False
2,4,"[0, 2, 3, 7, 8, 13]",False
2,4,"[2, 13, 7]",False
2,4,"[0, 8, 3, 13]",False
2,4,"[1, 3, 13, 7]",False
2,4,"[2, 3, 13, 6]",False
2,4,"[0, 1, 8]",False
2,4,"[1, 2, 3, 7]",False
2,4,"[1, 2, 6, 7, 8]",False
2,4,"[8, 3, 7]",False
2,4,"[0, 1, 3, 6, 7, 8]",False
2,4,"[0, 1, 2, 3, 13]",False
2,4,"[1, 2, 13, 7]",False
2,4,"[0, 1, 6, 7, 8, 13]",False
2,4,"[0, 1, 2, 7, 8]",False
2,4,"[3, 13, 7]",False
2,4,"[0, 8, 2, 13]",False
2,4,"[0, 6]",False
2,4,"[0, 1, 6, 8]",False
2,4,"[0, 2, 6]",False
2,4,"[8, 3, 6, 7]",False
2,4,[8],False
2,4,"[3, 13]",False
2,4,"[8, 1, 3, 13]",False
2,4,"[0, 1, 2, 3, 6, 13]",False
2,4,"[8, 1]",False
2,4,"[8, 1, 2]",False
2,4,"[0, 1, 3, 7]",False
2,4,"[1, 2, 3, 6, 7, 8]",False
2,4,"[0, 7]",False
2,4,"[1, 2, 3]",False
2,4,"[0, 1, 8, 7]",False
2,4,"[1, 3]",False
2,4,"[0, 2, 7]",False
2,4,"[0, 1, 2, 3, 6, 7]",False
2,4,"[2, 3, 6, 8, 13]",False
2,4,"[0, 13, 7]",False
2,4,"[8, 2, 3, 13]",False
2,4,"[0, 2, 3, 7, 8]",False
2,4,"[0, 1, 3, 6, 7, 8, 13]",False
2,4,"[0, 3, 13]",False
2,4,"[8, 2, 13, 7]",False
2,4,"[0, 1, 2, 13]",False
2,4,"[2, 6, 7, 8, 13]",False
2,4,"[0, 13, 6, 7]",False
2,4,"[1, 13]",False
2,4,"[0, 8]",False
2,4,"[0, 8, 2]",False
2,4,"[0, 2, 3, 6, 7, 8]",False
2,4,"[13, 7]",False
2,4,"[8, 1, 13, 7]",False
2,4,"[1, 3, 6, 7, 13]",False
2,4,"[0, 1, 2, 6, 7, 13]",False
2,4,[7],False
2,4,"[0, 1, 2, 6]",False
2,4,"[1, 2, 3, 6, 7]",False
2,4,"[0, 8, 6]",False
2,4,"[2, 3, 6, 7]",False
2,4,"[0, 1, 2, 3, 8]",False
2,4,"[0, 2, 3, 6, 8]",False
2,4,"[1, 2, 3, 13]",False
2,4,"[0, 2, 3, 7]",False
2,5,"[16, 17, 10, 13]",False
2,5,"[8, 9, 10, 3]",False
2,5,"[8, 9, 14, 17]",False
2,5,"[9, 3, 14, 15]",False
2,5,"[9, 10, 14, 17]",False
2,5,"[17, 10, 14]",False
2,5,"[16, 3, 8, 9, 15]",False
2,5,"[10, 13]",False
2,5,"[16, 3, 8, 10, 13, 14]",False
2,5,"[17, 8, 10, 13, 14]",False
2,5,"[8, 10, 14, 15]",False
2,5,"[8, 17, 3, 15]",False
2,5,"[17, 10, 14, 15]",False
2,5,"[17, 3, 9, 13, 14]",False
2,5,"[16, 17]",False
2,5,"[9, 13]",False
2,5,"[16, 17, 3, 8, 10]",False
2,5,"[16, 3, 8, 9, 10, 14]",False
2,5,"[3, 9, 10, 14, 15]",False
2,5,"[16, 9, 14, 17]",False
2,5,"[17, 10, 3, 13]",False
2,5,"[16, 9, 10, 3]",False
2,5,"[16, 17, 3, 8, 10, 13, 14]",False
2,5,"[17, 3, 8, 9, 13, 14]",False
2,5,"[8, 3]",False
2,5,"[16, 8, 9, 13, 14]",False
2,5,"[16, 9, 15]",False
2,5,"[8, 13, 14]",False
2,5,"[8, 16, 10, 15]",False
2,5,"[9, 3, 14, 17]",False
2,5,"[17, 3, 14]",False
2,5,"[8, 17, 3]",False
2,5,"[16, 17, 3, 8, 9, 10, 14]",False
2,5,"[9, 10, 3, 17]",False
2,5,"[16, 17, 3, 10, 13, 14]",False
2,5,"[16, 17, 3, 8, 9]",False
2,5,"[17, 3, 9, 10, 14, 15]",False
2,5,"[17, 3, 9, 10, 13, 14, 15]",False
2,5,"[16, 17, 9, 10, 14, 15]",False
2,5,"[3, 8, 9, 10, 15]",False
2,5,"[3, 8, 10, 14, 15]",False
2,5,"[8, 9, 3, 13]",False
2,5,"[8, 17, 10]",False
2,5,"[8, 9, 3, 15]",False
2,5,"[8, 13]",False
2,5,"[16, 17, 8, 9, 10]",False
2,5,"[16, 3, 8, 9, 14]",False
2,5,[15],False
2,5,"[3, 8, 10, 13, 15]",False
2,5,"[16, 3, 9, 10, 14]",False
2,5,"[16, 9, 10, 13]",False
2,5,"[8, 16, 13]",False
2,5,"[9, 3, 17]",False
2,5,"[16, 3, 13]",False
2,5,"[8, 17, 10, 3]",False
2,5,"[3, 8, 9, 13, 15]",False
2,5,"[16, 8, 9, 10, 13, 14]",False
2,5,"[16, 17, 3, 8, 9, 13]",False
2,5,"[16, 17, 9, 10, 13, 14]",False
2,5,"[17, 3, 8, 9, 14]",False
2,5,"[9, 3]",False
2,5,"[16, 17, 3, 10, 13]",False
2,5,"[16, 17, 8, 9, 10, 15]",False
2,5,"[10, 13, 14, 15]",False
2,5,"[8, 17, 13, 15]",False
2,5,"[16, 10, 15]",False
2,5,"[16, 17, 3, 8, 10, 14]",False
2,5,"[8, 9, 10, 13]",False
2,5,"[9, 3, 13, 17]",False
2,5,"[8, 9, 3, 17]",False
2,5,"[8, 16, 13, 15]",False
2,5,[17],False
2,5,"[17, 3, 8, 10, 13]",False
2,5,"[16, 17, 3, 13, 14, 15]",False
2,5,"[9, 14, 17]",False
2,5,"[3, 9, 10, 13, 14]",False
2,5,"[16, 17, 8, 9, 10, 13]",False
2,5,"[16, 17, 3, 9, 13, 14]",False
2,5,"[16, 3, 8, 9, 13, 15]",False
2,5,"[3, 9, 13, 14, 15]",False
2,5,"[16, 17, 3, 8, 9, 14]",False
2,5,"[9, 10]",False
2,5,"[17, 3, 9, 10, 15]",False
2,5,"[3, 8, 10, 13, 14, 15]",False
2,5,"[3, 8, 9, 10, 13, 14, 15, 17]",False
2,5,"[16, 3, 15]",False
2,5,"[16, 17, 3, 10, 13, 14, 15]",False
2,5,"[17, 10, 13, 14]",False
2,5,"[17, 8, 9, 10, 13, 15]",False
2,5,"[16, 3, 8, 9, 13]",False
2,5,"[3, 8, 9, 13, 14, 15]",False
2,5,"[3, 9, 10, 13, 14, 15]",False
2,5,"[16, 17, 10, 15]",False
2,5,"[8, 9, 10, 17]",False
2,5,"[8, 3, 14]",False
2,5,"[8, 9, 3, 14]",False
2,5,"[3, 8, 9, 10, 13, 14, 15, 16]",False
2,5,"[9, 10, 3, 14]",False
2,5,"[17, 10, 13, 14, 15]",False
2,5,[14],False
2,5,"[3, 8, 10, 13, 14]",False
2,5,"[17, 8, 13, 14, 15]",False
2,5,"[9, 14, 15]",False
2,5,"[16, 9, 13, 15]",False
2,5,"[16, 8, 9, 13, 14, 15]",False
2,5,"[16, 3, 9, 13, 14, 15]",False
2,5,"[16, 17, 9, 10, 13, 15]",False
2,5,[9],False
2,5,"[3, 8, 9, 10, 13]",False
2,5,"[16, 10, 13, 14, 15]",False
2,5,"[17, 9, 10, 14, 15]",False
2,5,"[16, 17, 8, 13, 15]",False
2,5,"[17, 3, 13, 14]",False
2,5,"[8, 3, 13, 14]",False
2,5,"[16, 17, 3]",False
2,5,"[8, 16, 3]",False
2,5,"[3, 15]",False
2,5,"[8, 17]",False
2,5,"[16, 8, 9, 10, 13]",False
2,5,"[8, 9, 10, 13, 14, 15]",False
2,5,"[10, 3]",False
2,5,"[16, 17, 3, 9, 13]",False
2,5,"[17, 3, 8, 14, 15]",False
2,5,"[16, 17, 3, 15]",False
2,5,"[16, 10, 14, 15]",False
2,5,"[16, 9, 10]",False
2,5,"[16, 17, 3, 9, 10, 13, 15]",False
2,5,"[9, 10, 13, 14]",False
2,5,"[16, 10, 13, 15]",False
2,5,"[3, 8, 9, 10, 13, 14, 16, 17]",False
2,5,"[8, 16, 13, 14]",False
2,5,"[17, 3, 8, 13, 15]",False
2,5,"[9, 10, 3]",False
2,5,"[8, 9, 14]",False
2,5,"[16, 17, 8, 14, 15]",False
2,5,"[8, 9, 13, 14, 15]",False
2,5,"[16, 17, 3, 9, 13, 15]",False
2,5,"[16, 17, 8, 10, 14]",False
2,5,"[8, 9, 10, 13, 14]",False
2,5,"[16, 15]",False
2,5,"[17, 9, 10, 13, 15]",False
2,5,"[9, 14]",False
2,5,"[16, 17, 10, 13, 14]",False
2,5,"[8, 16, 10]",False
2,5,"[17, 8, 10, 14, 15]",False
2,5,"[16, 3, 8, 10, 14, 15]",False
2,5,"[9, 3, 13, 14]",False
2,5,"[8, 3, 13]",False
2,5,"[17, 13, 15]",False
2,5,"[16, 17, 9, 10, 13, 14, 15]",False
2,5,"[10, 3, 13]",False
2,5,"[9, 10, 3, 13]",False
2,5,"[16, 3, 8, 9, 10, 13, 14]",False
2,5,"[16, 3, 13, 15]",False
2,5,"[3, 14, 15]",False
2,5,"[16, 17, 9, 14, 15]",False
